"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"25-29 years"	"25-29"	13	683386	Unreliable
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"30-34 years"	"30-34"	13	643031	Unreliable
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"35-39 years"	"35-39"	13	622353	Unreliable
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	15	621271	Unreliable
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	15	672123	Unreliable
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	21	732130	2.9
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	20	740969	2.7
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	19	697861	Unreliable
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"65-69 years"	"65-69"	12	681248	Unreliable
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"70-74 years"	"70-74"	16	538401	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			179	9431749	1.9
"Total"	"Florida"	"12"	"Female"	"F"	"2016"	"2016"					295	9431749	3.1
"Total"	"Florida"	"12"	"Female"	"F"							1349	45522741	3.0
"Total"	"Florida"	"12"									1349	45522741	3.0
"Total"	"Georgia"	"13"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			33	4395135	0.8
	"Georgia"	"13"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	10	364635	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	17	360629	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	20	353830	5.7
	"Georgia"	"13"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	11	319422	Unreliable
"Total"	"Georgia"	"13"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			99	4395135	2.3
"Total"	"Georgia"	"13"	"Female"	"F"	"2012"	"2012"					137	4395135	3.1
"Total"	"Georgia"	"13"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			32	4438857	0.7
	"Georgia"	"13"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	11	356555	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	15	359084	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	10	282370	Unreliable
"Total"	"Georgia"	"13"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			86	4438857	1.9
"Total"	"Georgia"	"13"	"Female"	"F"	"2013"	"2013"					124	4438857	2.8
"Total"	"Georgia"	"13"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			36	4500265	0.8
	"Georgia"	"13"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	14	363489	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	10	353658	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	18	363417	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	18	332582	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"65-69 years"	"65-69"	10	242344	Unreliable
"Total"	"Georgia"	"13"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			112	4500265	2.5
"Total"	"Georgia"	"13"	"Female"	"F"	"2014"	"2014"					153	4500265	3.4
"Total"	"Georgia"	"13"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			38	4565365	0.8
	"Georgia"	"13"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	11	359088	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	10	356101	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	14	365397	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	10	339799	Unreliable
"Total"	"Georgia"	"13"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			103	4565365	2.3
"Total"	"Georgia"	"13"	"Female"	"F"	"2015"	"2015"					146	4565365	3.2
"Total"	"Georgia"	"13"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			27	4621839	0.6
	"Georgia"	"13"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	12	349692	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	12	363020	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	21	346247	6.1
	"Georgia"	"13"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	11	303857	Unreliable
	"Georgia"	"13"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"65-69 years"	"65-69"	10	268206	Unreliable
"Total"	"Georgia"	"13"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			116	4621839	2.5
"Total"	"Georgia"	"13"	"Female"	"F"	"2016"	"2016"					147	4621839	3.2
"Total"	"Georgia"	"13"	"Female"	"F"							707	22521461	3.1
"Total"	"Georgia"	"13"									707	22521461	3.1
"Total"	"Hawaii"	"15"	"Female"	"F"							20	3072740	0.7
"Total"	"Hawaii"	"15"									20	3072740	0.7
"Total"	"Idaho"	"16"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			10	680927	Unreliable
"Total"	"Idaho"	"16"	"Female"	"F"	"2012"	"2012"					24	680927	3.5
"Total"	"Idaho"	"16"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			17	689609	Unreliable
"Total"	"Idaho"	"16"	"Female"	"F"	"2013"	"2013"					27	689609	3.9
"Total"	"Idaho"	"16"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			18	699769	Unreliable
"Total"	"Idaho"	"16"	"Female"	"F"	"2014"	"2014"					27	699769	3.9
"Total"	"Idaho"	"16"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			11	710413	Unreliable
"Total"	"Idaho"	"16"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			19	710413	Unreliable
"Total"	"Idaho"	"16"	"Female"	"F"	"2015"	"2015"					30	710413	4.2
"Total"	"Idaho"	"16"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			19	723188	Unreliable
"Total"	"Idaho"	"16"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			16	723188	Unreliable
"Total"	"Idaho"	"16"	"Female"	"F"	"2016"	"2016"					38	723188	5.3
"Total"	"Idaho"	"16"	"Female"	"F"							146	3503906	4.2
"Total"	"Idaho"	"16"									146	3503906	4.2
"Total"	"Illinois"	"17"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			10	5739973	Unreliable
"Total"	"Illinois"	"17"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			37	5739973	0.6
"Total"	"Illinois"	"17"	"Female"	"F"	"2012"	"2012"					55	5739973	1.0
"Total"	"Illinois"	"17"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			50	5751256	0.9
"Total"	"Illinois"	"17"	"Female"	"F"	"2013"	"2013"					67	5751256	1.2
"Total"	"Illinois"	"17"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			44	5765402	0.8
"Total"	"Illinois"	"17"	"Female"	"F"	"2014"	"2014"					58	5765402	1.0
"Total"	"Illinois"	"17"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			12	5760043	Unreliable
"Total"	"Illinois"	"17"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			38	5760043	0.7
"Total"	"Illinois"	"17"	"Female"	"F"	"2015"	"2015"					57	5760043	1.0
"Total"	"Illinois"	"17"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			12	5736527	Unreliable
"Total"	"Illinois"	"17"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			33	5736527	0.6
"Total"	"Illinois"	"17"	"Female"	"F"	"2016"	"2016"					54	5736527	0.9
"Total"	"Illinois"	"17"	"Female"	"F"							291	28753201	1.0
"Total"	"Illinois"	"17"									291	28753201	1.0
"Total"	"Indiana"	"18"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			12	2895304	Unreliable
	"Indiana"	"18"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	10	240378	Unreliable
"Total"	"Indiana"	"18"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			56	2895304	1.9
"Total"	"Indiana"	"18"	"Female"	"F"	"2012"	"2012"					69	2895304	2.4
"Total"	"Indiana"	"18"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			16	2912897	Unreliable
	"Indiana"	"18"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"30-34 years"	"30-34"	10	211820	Unreliable
"Total"	"Indiana"	"18"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			55	2912897	1.9
"Total"	"Indiana"	"18"	"Female"	"F"	"2013"	"2013"					79	2912897	2.7
"Total"	"Indiana"	"18"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			12	2927576	Unreliable
	"Indiana"	"18"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	10	210025	Unreliable
"Total"	"Indiana"	"18"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			53	2927576	1.8
"Total"	"Indiana"	"18"	"Female"	"F"	"2014"	"2014"					72	2927576	2.5
	"Indiana"	"18"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	10	206075	Unreliable
"Total"	"Indiana"	"18"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			57	2939099	1.9
"Total"	"Indiana"	"18"	"Female"	"F"	"2015"	"2015"					72	2939099	2.4
"Total"	"Indiana"	"18"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			14	2945119	Unreliable
	"Indiana"	"18"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	11	199920	Unreliable
	"Indiana"	"18"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	11	233406	Unreliable
"Total"	"Indiana"	"18"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			71	2945119	2.4
"Total"	"Indiana"	"18"	"Female"	"F"	"2016"	"2016"					88	2945119	3.0
"Total"	"Indiana"	"18"	"Female"	"F"							380	14619995	2.6
"Total"	"Indiana"	"18"									380	14619995	2.6
"Total"	"Iowa"	"19"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			21	1354349	1.6
"Total"	"Iowa"	"19"	"Female"	"F"	"2012"	"2012"					22	1354349	1.6
"Total"	"Iowa"	"19"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			13	1361527	Unreliable
"Total"	"Iowa"	"19"	"Female"	"F"	"2013"	"2013"					20	1361527	1.5
"Total"	"Iowa"	"19"	"Female"	"F"	"2014"	"2014"					18	1368092	Unreliable
"Total"	"Iowa"	"19"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			15	1375272	Unreliable
"Total"	"Iowa"	"19"	"Female"	"F"	"2015"	"2015"					26	1375272	1.9
"Total"	"Iowa"	"19"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			11	1378749	Unreliable
"Total"	"Iowa"	"19"	"Female"	"F"	"2016"	"2016"					15	1378749	Unreliable
"Total"	"Iowa"	"19"	"Female"	"F"							101	6837989	1.5
"Total"	"Iowa"	"19"									101	6837989	1.5
"Total"	"Kansas"	"20"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			23	1251428	1.8
"Total"	"Kansas"	"20"	"Female"	"F"	"2012"	"2012"					30	1251428	2.4
"Total"	"Kansas"	"20"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			21	1254023	1.7
"Total"	"Kansas"	"20"	"Female"	"F"	"2013"	"2013"					26	1254023	2.1
"Total"	"Kansas"	"20"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			20	1259718	1.6
"Total"	"Kansas"	"20"	"Female"	"F"	"2014"	"2014"					28	1259718	2.2
"Total"	"Kansas"	"20"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			24	1262962	1.9
"Total"	"Kansas"	"20"	"Female"	"F"	"2015"	"2015"					31	1262962	2.5
"Total"	"Kansas"	"20"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			22	1266224	1.7
"Total"	"Kansas"	"20"	"Female"	"F"	"2016"	"2016"					27	1266224	2.1
"Total"	"Kansas"	"20"	"Female"	"F"							142	6294355	2.3
"Total"	"Kansas"	"20"									142	6294355	2.3
"Total"	"Kentucky"	"21"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			14	1947360	Unreliable
"Total"	"Kentucky"	"21"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			62	1947360	3.2
"Total"	"Kentucky"	"21"	"Female"	"F"	"2012"	"2012"					80	1947360	4.1
"Total"	"Kentucky"	"21"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			17	1958561	Unreliable
"Total"	"Kentucky"	"21"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			64	1958561	3.3
"Total"	"Kentucky"	"21"	"Female"	"F"	"2013"	"2013"					84	1958561	4.3
"Total"	"Kentucky"	"21"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			11	1967825	Unreliable
"Total"	"Kentucky"	"21"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			66	1967825	3.4
"Total"	"Kentucky"	"21"	"Female"	"F"	"2014"	"2014"					81	1967825	4.1
	"Kentucky"	"21"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	13	161041	Unreliable
"Total"	"Kentucky"	"21"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			60	1974300	3.0
"Total"	"Kentucky"	"21"	"Female"	"F"	"2015"	"2015"					72	1974300	3.6
"Total"	"Kentucky"	"21"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			11	1979716	Unreliable
	"Kentucky"	"21"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	10	145267	Unreliable
	"Kentucky"	"21"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	10	156649	Unreliable
"Total"	"Kentucky"	"21"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			73	1979716	3.7
"Total"	"Kentucky"	"21"	"Female"	"F"	"2016"	"2016"					86	1979716	4.3
"Total"	"Kentucky"	"21"	"Female"	"F"							403	9827762	4.1
"Total"	"Kentucky"	"21"									403	9827762	4.1
	"Louisiana"	"22"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	14	145331	Unreliable
"Total"	"Louisiana"	"22"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			71	2043472	3.5
"Total"	"Louisiana"	"22"	"Female"	"F"	"2012"	"2012"					77	2043472	3.8
"Total"	"Louisiana"	"22"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			60	2056683	2.9
"Total"	"Louisiana"	"22"	"Female"	"F"	"2013"	"2013"					68	2056683	3.3
	"Louisiana"	"22"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"25-29 years"	"25-29"	11	169763	Unreliable
	"Louisiana"	"22"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	12	147828	Unreliable
	"Louisiana"	"22"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	15	166325	Unreliable
	"Louisiana"	"22"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	17	163481	Unreliable
"Total"	"Louisiana"	"22"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			91	2070579	4.4
"Total"	"Louisiana"	"22"	"Female"	"F"	"2014"	"2014"					94	2070579	4.5
"Total"	"Louisiana"	"22"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			66	2081306	3.2
"Total"	"Louisiana"	"22"	"Female"	"F"	"2015"	"2015"					74	2081306	3.6
	"Louisiana"	"22"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"25-29 years"	"25-29"	11	174370	Unreliable
	"Louisiana"	"22"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"30-34 years"	"30-34"	10	167252	Unreliable
	"Louisiana"	"22"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"35-39 years"	"35-39"	10	153321	Unreliable
"Total"	"Louisiana"	"22"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			84	2087241	4.0
"Total"	"Louisiana"	"22"	"Female"	"F"	"2016"	"2016"					93	2087241	4.5
"Total"	"Louisiana"	"22"	"Female"	"F"							406	10339281	3.9
"Total"	"Louisiana"	"22"									406	10339281	3.9
"Total"	"Maine"	"23"	"Female"	"F"	"2012"	"2012"					12	610713	Unreliable
"Total"	"Maine"	"23"	"Female"	"F"	"2013"	"2013"					12	611231	Unreliable
"Total"	"Maine"	"23"	"Female"	"F"	"2014"	"2014"					13	612545	Unreliable
"Total"	"Maine"	"23"	"Female"	"F"	"2015"	"2015"					12	612550	Unreliable
"Total"	"Maine"	"23"	"Female"	"F"	"2016"	"2016"					11	613543	Unreliable
"Total"	"Maine"	"23"	"Female"	"F"							60	3060582	2.0
"Total"	"Maine"	"23"									60	3060582	2.0
"Total"	"Maryland"	"24"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			15	2674322	Unreliable
"Total"	"Maryland"	"24"	"Female"	"F"	"2012"	"2012"					19	2674322	Unreliable
"Total"	"Maryland"	"24"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			23	2691673	0.9
"Total"	"Maryland"	"24"	"Female"	"F"	"2013"	"2013"					27	2691673	1.0
"Total"	"Maryland"	"24"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			34	2715168	1.3
"Total"	"Maryland"	"24"	"Female"	"F"	"2014"	"2014"					38	2715168	1.4
"Total"	"Maryland"	"24"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			20	2731153	0.7
"Total"	"Maryland"	"24"	"Female"	"F"	"2015"	"2015"					25	2731153	0.9
"Total"	"Maryland"	"24"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			21	2737950	0.8
"Total"	"Maryland"	"24"	"Female"	"F"	"2016"	"2016"					25	2737950	0.9
"Total"	"Maryland"	"24"	"Female"	"F"							134	13550266	1.0
"Total"	"Maryland"	"24"									134	13550266	1.0
"Total"	"Massachusetts"	"25"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			14	3059827	Unreliable
"Total"	"Massachusetts"	"25"	"Female"	"F"	"2012"	"2012"					23	3059827	0.8
"Total"	"Massachusetts"	"25"	"Female"	"F"	"2013"	"2013"					13	3083684	Unreliable
"Total"	"Massachusetts"	"25"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			12	3111854	Unreliable
"Total"	"Massachusetts"	"25"	"Female"	"F"	"2014"	"2014"					18	3111854	Unreliable
"Total"	"Massachusetts"	"25"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			11	3136121	Unreliable
"Total"	"Massachusetts"	"25"	"Female"	"F"	"2015"	"2015"					20	3136121	0.6
"Total"	"Massachusetts"	"25"	"Female"	"F"	"2016"	"2016"					11	3146597	Unreliable
"Total"	"Massachusetts"	"25"	"Female"	"F"							85	15538083	0.5
"Total"	"Massachusetts"	"25"									85	15538083	0.5
"Total"	"Michigan"	"26"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			11	4448747	Unreliable
"Total"	"Michigan"	"26"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			39	4448747	0.9
"Total"	"Michigan"	"26"	"Female"	"F"	"2012"	"2012"					56	4448747	1.3
"Total"	"Michigan"	"26"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			15	4456540	Unreliable
"Total"	"Michigan"	"26"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			50	4456540	1.1
"Total"	"Michigan"	"26"	"Female"	"F"	"2013"	"2013"					75	4456540	1.7
"Total"	"Michigan"	"26"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			14	4467821	Unreliable
	"Michigan"	"26"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	11	373839	Unreliable
"Total"	"Michigan"	"26"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			60	4467821	1.3
"Total"	"Michigan"	"26"	"Female"	"F"	"2014"	"2014"					80	4467821	1.8
"Total"	"Michigan"	"26"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			14	4473157	Unreliable
"Total"	"Michigan"	"26"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			56	4473157	1.3
"Total"	"Michigan"	"26"	"Female"	"F"	"2015"	"2015"					81	4473157	1.8
"Total"	"Michigan"	"26"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			18	4474386	Unreliable
"Total"	"Michigan"	"26"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			64	4474386	1.4
"Total"	"Michigan"	"26"	"Female"	"F"	"2016"	"2016"					86	4474386	1.9
"Total"	"Michigan"	"26"	"Female"	"F"							378	22320651	1.7
"Total"	"Michigan"	"26"									378	22320651	1.7
"Total"	"Minnesota"	"27"	"Female"	"F"	"2012"	"2012"					20	2360021	0.8
"Total"	"Minnesota"	"27"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			21	2379214	0.9
"Total"	"Minnesota"	"27"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			18	2379214	Unreliable
"Total"	"Minnesota"	"27"	"Female"	"F"	"2013"	"2013"					42	2379214	1.8
"Total"	"Minnesota"	"27"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			10	2397543	Unreliable
"Total"	"Minnesota"	"27"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			17	2397543	Unreliable
"Total"	"Minnesota"	"27"	"Female"	"F"	"2014"	"2014"					31	2397543	1.3
"Total"	"Minnesota"	"27"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by drowning and submersion"	"X71"			10	2412130	Unreliable
"Total"	"Minnesota"	"27"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			14	2412130	Unreliable
